Freq.	V(vout)
1.45211161758773e-07	(-3.65480109823704e-13dB,-1.66237737981439e-05°)
1.45545908058195e-07	(-3.66444437290257e-13dB,-1.66620955545017e-05°)
1.45881426027534e-07	(-3.70301747156470e-13dB,-1.67005056516316e-05°)
1.46217717445671e-07	(-3.71266074623023e-13dB,-1.67390042931799e-05°)
1.46554784095590e-07	(-3.73194729556130e-13dB,-1.67775916832626e-05°)
1.46892627764385e-07	(-3.73194729556130e-13dB,-1.68162680264664e-05°)
1.47231250243271e-07	(-3.76087711955790e-13dB,-1.68550335278491e-05°)
1.47570653327588e-07	(-3.78016366888897e-13dB,-1.68938883929418e-05°)
1.47910838816819e-07	(-3.79945021822003e-13dB,-1.69328328277490e-05°)
1.48251808514594e-07	(-3.81873676755110e-13dB,-1.69718670387502e-05°)
1.48593564228699e-07	(-3.82838004221663e-13dB,-1.70109912329010e-05°)
1.48936107771090e-07	(-3.83802331688217e-13dB,-1.70502056176339e-05°)
1.49279440957898e-07	(-3.86695314087877e-13dB,-1.70895104008597e-05°)
1.49623565609442e-07	(-3.88623969020983e-13dB,-1.71289057909684e-05°)
1.49968483550236e-07	(-3.90552623954090e-13dB,-1.71683919968305e-05°)
1.50314196609001e-07	(-3.91516951420643e-13dB,-1.72079692277979e-05°)
1.50660706618673e-07	(-3.93445606353750e-13dB,-1.72476376937051e-05°)
1.51008015416413e-07	(-3.95374261286857e-13dB,-1.72873976048705e-05°)
1.51356124843619e-07	(-3.97302916219963e-13dB,-1.73272491720970e-05°)
1.51705036745932e-07	(-3.99231571153070e-13dB,-1.73671926066738e-05°)
1.52054752973248e-07	(-4.02124553552730e-13dB,-1.74072281203769e-05°)
1.52405275379728e-07	(-4.02124553552730e-13dB,-1.74473559254707e-05°)
1.52756605823806e-07	(-4.05017535952390e-13dB,-1.74875762347087e-05°)
1.53108746168201e-07	(-4.05981863418943e-13dB,-1.75278892613352e-05°)
1.53461698279928e-07	(-4.08874845818603e-13dB,-1.75682952190856e-05°)
1.53815464030302e-07	(-4.10803500751710e-13dB,-1.76087943221884e-05°)
1.54170045294954e-07	(-4.11767828218263e-13dB,-1.76493867853658e-05°)
1.54525443953840e-07	(-4.14660810617923e-13dB,-1.76900728238350e-05°)
1.54881661891247e-07	(-4.15625138084477e-13dB,-1.77308526533093e-05°)
1.55238700995807e-07	(-4.18518120484137e-13dB,-1.77717264899994e-05°)
1.55596563160506e-07	(-4.20446775417243e-13dB,-1.78126945506141e-05°)
1.55955250282694e-07	(-4.22375430350350e-13dB,-1.78537570523622e-05°)
1.56314764264094e-07	(-4.24304085283457e-13dB,-1.78949142129529e-05°)
1.56675107010813e-07	(-4.24304085283457e-13dB,-1.79361662505973e-05°)
1.57036280433354e-07	(-4.28161395149670e-13dB,-1.79775133840097e-05°)
1.57398286446620e-07	(-4.30090050082777e-13dB,-1.80189558324085e-05°)
1.57761126969933e-07	(-4.32983032482437e-13dB,-1.80604938155174e-05°)
1.58124803927037e-07	(-4.32983032482437e-13dB,-1.81021275535665e-05°)
1.58489319246110e-07	(-4.36840342348650e-13dB,-1.81438572672940e-05°)
1.58854674859776e-07	(-4.38768997281757e-13dB,-1.81856831779466e-05°)
